STT,Family Column,Family Column Type,Base Level,Top Level,Family Rafter,Family Type Rafter,Level Rafter,Length,Plate,Path,Gird_Ver,Gird_Hor,Slope,Gird_Ver,Gird_Hor,Length From Gird,Plate Column,Move Left,Move Right,Move Up,Move Bottom
1,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,1,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
2,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,2,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
3,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,3,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
4,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,4,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
5,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,5,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
6,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,6,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
7,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,7,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
8,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,8,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
9,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
10,Flange-Billet-Inline_00_Nvn-Npd_2018,flange-Billet-Inline_00_Nvn-Npd_2018,EX,EX,4175.Beam-Tapper,"W (A-B)xtw,FCxtf",EX,9,12.0,C:\Users\nhuan.nguyen\AppData\Roaming\pyRevit\Extensions\PySteelFraming.extension\PySteelFraming.tab\TestCode.panel\TestDataToExcel.pushbutton\DataToolTemplate.csv,A,B,12.0,A,3,20000.0,12.0,12.0,0.0,0.0,0.0
